qtr,ticker,CFO,CFO_size,ACCRUAL,dMARGIN,intercept,pred_beats_mkt
2019_2,ABBV,0.2434250316148306,0.2434250316148306,0.7015719603496999,0.871998698448309,1,0.5062521121882374
2019_2,FB,0.45534519729487016,0.45534519729487016,0.7089156146940476,0.870610474107747,1,0.5061161022127566
2019_2,NVDA,0.21122372303575684,0.21122372303575684,0.7096334327074887,0.8688937290980553,1,0.5055124765366008
2019_2,AVGO,0.24690724483624438,0.24690724483624438,0.6986429379160085,0.8735797328853367,1,0.5052933232449189
2019_2,AEP,0.2162179498927845,0.2162179498927845,0.7023839697861438,0.8720847863185031,1,0.5048187135317774
2019_2,FIS,0.20766820006231332,0.20766820006231332,0.7032501847145588,0.8717214295097607,1,0.5047262971951577
2019_2,PTC,0.19926662756813227,0.19802796767039937,0.7002768873631774,0.8705852450569962,1,0.5046814617779789
2019_2,NOC,0.22748016054835696,0.22748016054835696,0.7058877161685481,0.8708599660284985,1,0.5046164107546828
2019_2,IQV,0.20519399593130877,0.20519399593130877,0.7045089031251383,0.8712582842867082,1,0.5046010320764944
2019_2,NCLH,0.20491107527078792,0.19802796767039937,0.6717106783663853,0.8716067709926901,1,0.5045886273482078
2019_2,DLTR,0.20928284735076885,0.20928284735076885,0.7050967254186942,0.8710813050018891,1,0.50453494595606
2019_2,XOM,0.30702124150065063,0.30702124150065063,0.7077514762180354,0.8707827751579897,1,0.5043469330777728
2019_2,NEM,0.20350787163462422,0.20350787163462422,0.706908014823447,0.8704163691427825,1,0.5043142193477679
2019_2,LOW,0.23719370269230067,0.23719370269230067,0.7066581765360281,0.8707537868115973,1,0.504299078398399
2019_2,F,0.3164781995124902,0.3164781995124902,0.7078242450894477,0.8708600077984501,1,0.5042485904213133
2019_2,KHC,0.2167402818759966,0.2167402818759966,0.7073538560233077,0.8703657439614748,1,0.5042309675922391
2019_2,LYV,0.1948073419716658,0.19802796767039937,0.7185004639896406,0.8717428992648698,1,0.504163320119394
2019_2,GOOG,0.4294485273903561,0.4294485273903561,0.7107793696308228,0.870649988481936,1,0.503814011114655
2019_2,GOOGL,0.4294485273903561,0.4294485273903561,0.7107793696308228,0.870649988481936,1,0.503814011114655
2019_2,ADBE,0.21836321316643148,0.21836321316643148,0.707233723493364,0.8706014935681585,1,0.5038044847793663
2019_2,UNP,0.23360152484284225,0.23360152484284225,0.705371357396571,0.8714439934914062,1,0.5038033238923952
2019_2,BMY,0.23620402103989885,0.23620402103989885,0.7085319740915642,0.8702128241687623,1,0.5037995743797623
2019_2,BKNG,0.23077909938969635,0.23077909938969635,0.7055508247369446,0.8714439934914062,1,0.5035853433907299
2019_2,BF-B,0.2021149863460587,0.2021149863460587,0.7104721666347036,0.8693283454441828,1,0.5035145253270934
2019_2,UNH,0.30568333852610746,0.30568333852610746,0.7077847929239152,0.8711439599292501,1,0.5034227738527758
2019_2,IR,0.19928156443010833,0.19802796767039937,0.7060206764079462,0.8688483669306458,1,0.5033244114145985
2019_2,VRSK,0.20169895350328979,0.20169895350328979,0.7056132709669178,0.8713591169498078,1,0.5032472115968158
2019_2,CNC,0.21483422832322271,0.21483422832322271,0.7096697254136579,0.8698935764288822,1,0.5031290457039298
2019_2,NEE,0.22889137327492992,0.22889137327492992,0.7059114518715429,0.871608441790753,1,0.5028139786626398
2019_2,CTAS,0.2053066180378645,0.2053066180378645,0.7050243089780903,0.8717995393192042,1,0.5028075389680681
2019_2,BIIB,0.2340230559170134,0.2340230559170134,0.7070858414026776,0.871182221204892,1,0.5028064938159764
2019_2,DHR,0.21949856129611645,0.21949856129611645,0.7070458840481154,0.8711632576468773,1,0.5026489875674848
2019_2,PWR,0.19603643494675882,0.19802796767039937,0.7166175140688464,0.870902362529346,1,0.5025690006415983
2019_2,MMM,0.22848816963876623,0.22848816963876623,0.7092775407031763,0.870440345094986,1,0.502412445169477
2019_2,MTCH,0.20285301394718033,0.19802796767039937,0.6865493288160753,0.8704719649483275,1,0.5022425495006616
2019_2,ACN,0.23694705203159652,0.23694705203159652,0.706409858436703,0.8717081884351118,1,0.5022323187656578
2019_2,WBA,0.23504939244543008,0.23504939244543008,0.7082785047441483,0.8709788015407265,1,0.5021765920348241
2019_2,GIS,0.21231237285339885,0.21231237285339885,0.708194125910332,0.870868152939007,1,0.5021459002152362
2019_2,COST,0.23660722467606254,0.23660722467606254,0.7072935047508166,0.8714031424787668,1,0.5021191770862772
2019_2,TXN,0.2309440463317633,0.2309440463317633,0.7081535583838423,0.8710857326167559,1,0.5019698809327804
2019_2,VRTX,0.2065272987189121,0.2065272987189121,0.707583433405851,0.8712172244243109,1,0.5017909899821507
2019_2,NKE,0.23486611806535568,0.23486611806535568,0.7067099038561433,0.8717652879589135,1,0.501774120225233
2019_2,SYY,0.21719813793229847,0.21719813793229847,0.7070393844581602,0.8715309167606318,1,0.5017311613906036
2019_2,AAPL,0.4112860363249822,0.4112860363249822,0.7114741742257511,0.871131512483681,1,0.5016897555445634
2019_2,XEL,0.20794311163242493,0.20794311163242493,0.7038993895173133,0.8727422035863264,1,0.5016526366424147
2019_2,KO,0.2660777449920276,0.2660777449920276,0.7099707543483667,0.870769701163147,1,0.5015824917031694
2019_2,BDX,0.21510913989333433,0.21510913989333433,0.7070242359382518,0.8716751484034168,1,0.5013633966756654
2019_2,EBAY,0.21166358154793544,0.21166358154793544,0.7077885072493075,0.8713565689827618,1,0.5013450758916939
2019_2,EW,0.20428128951853822,0.20428128951853822,0.709440124703977,0.8706584260121539,1,0.5013298680885548
2019_2,FTV,0.2027711086267251,0.2027711086267251,0.7110355906095724,0.870029203461643,1,0.5012996944819987
2019_2,MCD,0.2333174495537269,0.2333174495537269,0.7043729600114692,0.8728773711496198,1,0.5012970175237736
2019_2,MDT,0.2362773307919286,0.2362773307919286,0.7091622014485879,0.8710111732531963,1,0.5012764954120925
2019_2,LRCX,0.21416503857925703,0.21416503857925703,0.7094109753777991,0.870797060481428,1,0.5011878384979568
2019_2,PM,0.2611110092920111,0.2611110092920111,0.7077204300840101,0.8718205496048459,1,0.501113557330718
2019_2,MSFT,0.4932463390942581,0.4932463390942581,0.7111669037973681,0.872070960464532,1,0.5010808513706024
2019_2,VLO,0.22583069112768728,0.22583069112768728,0.708457465515269,0.8713094107074347,1,0.5010562761549734
2019_2,XLNX,0.20349350292322638,0.20349350292322638,0.7114737322895233,0.8699729811068244,1,0.5010294348993567
2019_2,TECH,0.19905331451716365,0.19802796767039937,0.70390176667072,0.8710833517295162,1,0.5009652821931805
2019_2,ALGN,0.20127841211077105,0.20127841211077105,0.7105688634078812,0.8703560533327096,1,0.5009323741262005
2019_2,BAX,0.20620200502171804,0.20620200502171804,0.7109818063736559,0.8702278195813774,1,0.5009294336165249
2019_2,SLB,0.21833476898264392,0.21833476898264392,0.7094609048980004,0.8709267144111137,1,0.5008971259691388
2019_2,NXPI,0.2034528893206019,0.2034528893206019,0.7084083686857807,0.8712523529535847,1,0.500868794746549
2019_2,CAT,0.24545937723365652,0.24545937723365652,0.7104719725713724,0.8707481478681348,1,0.5008140328957867
2019_2,EMR,0.2153657240254385,0.2153657240254385,0.7091567464227075,0.8710840200487414,1,0.5007587785744652
2019_2,SPGI,0.21116874072173453,0.21116874072173453,0.7085505567885558,0.8713468783539966,1,0.5006336717933935
2019_2,DXCM,0.19921008742187932,0.19802796767039937,0.7047363993265459,0.870627432708086,1,0.5005773620045528
2019_2,DG,0.20855149093708192,0.20855149093708192,0.7086660677416224,0.8713499275604616,1,0.5004727172554762
2019_2,ANTM,0.224364496087092,0.224364496087092,0.7119867110905876,0.8701492920724183,1,0.500462298685259
2019_2,CERN,0.20181826512471823,0.20181826512471823,0.7097176496385171,0.8708943009286922,1,0.5004560538775964
2019_2,CTSH,0.20856624452467792,0.20856624452467792,0.7119889544717377,0.870127153998084,1,0.5002510414463911
2019_2,DXC,0.19681835676190826,0.19802796767039937,0.7149980889216894,0.8710853566871918,1,0.5002273349645665
2019_2,PPL,0.20895112072283417,0.20895112072283417,0.707406083621199,0.8719720492192048,1,0.5001817034346981
2019_3,NCLH,0.19706209335996924,0.19802796767039937,0.5016441910671037,0.8683126673017092,1,0.6978284194004148
2019_3,MO,0.25084764400784415,0.25084764400784415,0.6185489387444602,0.8727421200464232,1,0.5829641093447319
2019_3,CHTR,0.25196561772629805,0.25196561772629805,0.6296159813963869,0.8711123400759087,1,0.576526283203321
2019_3,FANG,0.21358796253871673,0.19802796767039937,0.5692107291331918,0.8679091277995528,1,0.5724806251053701
2019_3,SBAC,0.20257328226087276,0.20257328226087276,0.6321830458464498,0.8716599023710923,1,0.5720403070411227
2019_3,SLB,0.23000934699338382,0.23000934699338382,0.6420474277623052,0.8713015161865872,1,0.5641049800183462
2019_3,EIX,0.17209464288987045,0.19802796767039937,0.7629571147766611,0.8749364209124605,1,0.5539340101120029
2019_3,EXPE,0.18224804354599272,0.19802796767039937,0.7309458796519315,0.8714367672897839,1,0.5482150591490377
2019_3,ADM,0.18602349577552557,0.19802796767039937,0.7172731150704408,0.8715646668815036,1,0.5443432467423319
2019_3,OXY,0.2448179169033961,0.2448179169033961,0.6859767395056597,0.8635365657288826,1,0.5414370657827798
2019_3,MU,0.23895313674101498,0.23895313674101498,0.7034473078804796,0.8579163769746484,1,0.5382447520851069
2019_3,EOG,0.2358129868225721,0.2358129868225721,0.6860576599552827,0.868700877231638,1,0.5288308653913091
2019_3,STZ,0.21317192969594784,0.21317192969594784,0.6792594965008687,0.8713528514570718,1,0.5285474370636789
2019_3,MTCH,0.2041302531019189,0.2041302531019189,0.6828555945104949,0.8708971830553509,1,0.5260740010303705
2019_3,FISV,0.21705184832212307,0.21705184832212307,0.6808253759514576,0.8720082637672195,1,0.5255486776329921
2019_3,INFO,0.20559536682367174,0.20559536682367174,0.6830128837901493,0.871343703837677,1,0.5248756716360223
2019_3,VRSK,0.20194270842878875,0.20194270842878875,0.6856967483627694,0.8711925801528823,1,0.5226254103765628
2019_3,VRTX,0.21861558198779393,0.21861558198779393,0.6870504319071216,0.8715662959096149,1,0.5207149835030818
2019_3,CI,0.24313179260671153,0.24313179260671153,0.7093837348249751,0.8634638860131438,1,0.5193536310849052
2019_3,BSX,0.2189945567509118,0.2189945567509118,0.6899490167705681,0.8711843932423737,1,0.5188808061788323
2019_3,INTC,0.3943331561680993,0.3943331561680993,0.6985420268853959,0.8690879593728744,1,0.518652568826653
2019_3,FE,0.21840807873467372,0.21840807873467372,0.6880586364523934,0.872284321377172,1,0.5180243864746374
2019_3,HOLX,0.2025676740648425,0.19802796767039937,0.6935866477963076,0.8618639715580046,1,0.5175228651200102
2019_3,PENN,0.20176687498854537,0.19802796767039937,0.6719277766728959,0.8719498276049674,1,0.5173999129321658
2019_3,TMUS,0.24655902351410297,0.24655902351410297,0.6910483362948876,0.8718295719143859,1,0.5167389057582595
2019_3,RSG,0.20996462804464566,0.20996462804464566,0.6917091885772968,0.8713796259960307,1,0.5165851610558426
2019_3,NEE,0.25231383904843946,0.25231383904843946,0.6905639120074223,0.8721974398778981,1,0.5164103931484709
2019_3,GPN,0.2060292505910599,0.2060292505910599,0.7071285692825515,0.8653905667994465,1,0.5162491886418572
2019_3,FIS,0.21490753807525248,0.21490753807525248,0.6937800104087536,0.871577657336443,1,0.5142180896436362
2019_3,VZ,0.39801697120759494,0.39801697120759494,0.6973959437020725,0.871525695516685,1,0.5139380991084637
2019_3,XEL,0.22044242435349964,0.22044242435349964,0.6921359371820216,0.8725293439131052,1,0.5135850255353024
2019_3,LHX,0.2077964921283654,0.2077964921283654,0.7004272735913162,0.8691974801859014,1,0.5134977451298804
2019_3,EQIX,0.20717324927148437,0.20717324927148437,0.6941317596975887,0.871866329471771,1,0.5130595910851941
2019_3,CVX,0.34129355057456523,0.34129355057456523,0.6996392702419091,0.8706767212509433,1,0.5129032055311974
2019_3,T,0.4067591591371442,0.4067591591371442,0.6998516072875403,0.8714729818377985,1,0.5118705028728237
2019_3,XOM,0.36442277733995565,0.36442277733995565,0.7029833382594459,0.8700505479068974,1,0.511608690808666
2019_3,UNP,0.24135403111998976,0.24135403111998976,0.6977938700944692,0.8714439934914062,1,0.5111546793248567
2019_3,WMB,0.2137529094807837,0.2137529094807837,0.684214901112114,0.8767037493335083,1,0.5109697030487905
2019_3,WM,0.21547568865348316,0.21547568865348316,0.6975402387162107,0.8716759420324967,1,0.5104080716594545
2019_3,AVGO,0.242362040210399,0.242362040210399,0.695310862893057,0.8728163034804186,1,0.5102327441783887
2019_3,ABBV,0.2815094477942929,0.2815094477942929,0.6998632385900969,0.8712919508676769,1,0.5102156121239039
2019_3,NOW,0.2070371497168411,0.2070371497168411,0.6961327743475327,0.8723883703265429,1,0.5098934666446158
2019_3,GLW,0.21432106005901436,0.21432106005901436,0.7053111920205193,0.8688146585797256,1,0.5098741853940796
