date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-05-25,1846292000.0,114063490000.0,9803592000.0,89113920000.0,11596815321.28,45633790000.0,23827186000.0
2017-05-26,1856544000.0,114284710000.0,9683544000.0,90096480000.0,11633427208.64,46062720000.0,24004388000.0
2017-05-30,1831380000.0,113633340000.0,9277152000.0,90491640000.0,11457232500.72,46338980000.0,23863923000.0
2017-05-31,1801556000.0,113313800000.0,9127584000.0,92261850000.0,11434350071.12,46578890000.0,23809898000.0
2017-06-01,1827652000.0,113965170000.0,9246648000.0,92486130000.0,11654021395.28,47545800000.0,24365275000.0
2017-06-02,1805284000.0,114960660000.0,9037056000.0,94259010000.0,11706650983.36,47596690000.0,24501418000.0
2017-06-05,1808080000.0,114837760000.0,8919960000.0,91962810000.0,11512150331.76,47298620000.0,24216166000.0
2017-06-06,1864932000.0,114555090000.0,9127584000.0,91535610000.0,11377143997.12,46767910000.0,23954685000.0
2017-06-07,1892892000.0,115243330000.0,8718240000.0,92349960000.0,11621985993.84,46746100000.0,24235615000.0
2017-06-08,2006596000.0,113768530000.0,8641488000.0,90099150000.0,11850810289.84,46767910000.0,24380402000.0
2017-06-09,1997276000.0,111630070000.0,8870760000.0,88868280000.0,11699786254.48,46048180000.0,23732102000.0
2017-06-12,1980500000.0,112146250000.0,8920944000.0,90419550000.0,11537321004.32,46229930000.0,23749390000.0
2017-06-13,2041080000.0,112564110000.0,9096096000.0,91263270000.0,11862251504.64,46571620000.0,23950363000.0
2017-06-14,2022440000.0,112404340000.0,8796960000.0,90334110000.0,11937763522.32,47080520000.0,24125404000.0
2017-06-15,2004732000.0,112637850000.0,8449608000.0,90336780000.0,12107093501.36,47618500000.0,24218327000.0
2017-06-16,1997276000.0,109884890000.0,8351208000.0,90838740000.0,12104805258.4,47720280000.0,24181590000.0
2017-06-19,2007528000.0,110425650000.0,8451576000.0,90849420000.0,12271846994.48,48214640000.0,24484130000.0
2017-06-20,1992616000.0,109725120000.0,8564736000.0,89073870000.0,12150570117.6,47763900000.0,24131887000.0
2017-06-21,1929240000.0,109872600000.0,8536200000.0,89145960000.0,12562453850.4,48294610000.0,24615951000.0
2017-06-22,2003800000.0,109503900000.0,8460432000.0,89212710000.0,12690595456.16,47756630000.0,24235615000.0
2017-06-23,2028032000.0,109196650000.0,8698560000.0,88323600000.0,12541859663.76,48309150000.0,24172946000.0
2017-06-26,2053196000.0,109307260000.0,8590320000.0,88817550000.0,12656271811.76,47982000000.0,24058413000.0
2017-06-27,2006596000.0,107549790000.0,8658216000.0,88075290000.0,12324476582.56,47291350000.0,23531129000.0
2017-06-28,2009392000.0,107930780000.0,8521440000.0,90860100000.0,12649407082.88,48054700000.0,23933075000.0
2017-06-29,1994480000.0,105399040000.0,8589336000.0,89642580000.0,12452618188.32,47364050000.0,23613247000.0
2017-06-30,1994480000.0,105251560000.0,8738904000.0,89938950000.0,12422871029.84,47669390000.0,23604603000.0
2017-07-03,1971180000.0,103813630000.0,8890440000.0,87754890000.0,12482365346.8,47436750000.0,23520324000.0
2017-07-05,1952540000.0,102977910000.0,8707416000.0,89474370000.0,12679154241.36,48374580000.0,23909304000.0
2017-07-06,1925512000.0,101785780000.0,8458464000.0,88692060000.0,12370241441.76,47603960000.0,23461977000.0
2017-07-07,1970248000.0,102056160000.0,8471256000.0,88758810000.0,12512112505.28,47858410000.0,23598120000.0
2017-07-10,1936696000.0,101724330000.0,8662152000.0,89872200000.0,12363376712.88,47865680000.0,23595959000.0
2017-07-11,1939492000.0,102928750000.0,8720208000.0,90205950000.0,12347359012.16,47800250000.0,23611086000.0
2017-07-12,1946948000.0,104096300000.0,8670024000.0,91487550000.0,12377106170.64,47960190000.0,23775322000.0
2017-07-13,1941356000.0,104280650000.0,8798928000.0,90523680000.0,12411429815.04,48105590000.0,23673755000.0
2017-07-14,1933900000.0,105263850000.0,8903232000.0,91527600000.0,12235235107.12,47800250000.0,23531129000.0
2017-07-17,1888232000.0,105202400000.0,8902248000.0,91396770000.0,12386259142.48,48656520000.0,24092989000.0
2017-07-18,1918056000.0,105202400000.0,8896344000.0,92016210000.0,12397700357.28,48460500000.0,24170785000.0
2017-07-19,1932036000.0,105313010000.0,9242712000.0,92544870000.0,12443465216.48,48475020000.0,24324216000.0
2017-07-20,1924580000.0,105571100000.0,9090192000.0,92195100000.0,12596777494.8,49063080000.0,24907686000.0
2017-07-21,1910600000.0,105890640000.0,9051816000.0,93468690000.0,12601353980.72,48642000000.0,24832051000.0
2017-07-24,1967452000.0,105964380000.0,9171864000.0,92937360000.0,12752378016.08,48634740000.0,25011414000.0
2017-07-25,2018712000.0,107439180000.0,9418848000.0,92916000000.0,12756954502.0,48750900000.0,24834212000.0
2017-07-26,1986092000.0,107734140000.0,9493632000.0,93121590000.0,12734072072.4,48424200000.0,24732645000.0
2017-07-27,1932968000.0,108385510000.0,9502488000.0,97962300000.0,12610506952.56,48162840000.0,24481969000.0
2017-07-28,1877048000.0,107709560000.0,9510360000.0,98859420000.0,12633389382.16,48206400000.0,24503579000.0
2017-07-31,1878912000.0,107488340000.0,9434592000.0,104655990000.0,12601353980.72,48482280000.0,24434427000.0
2017-08-01,1897552000.0,106517430000.0,9382440000.0,103441140000.0,13022390685.36,48990480000.0,25255607000.0
2017-08-02,1892892000.0,106763230000.0,9430656000.0,102939180000.0,12777548688.64,49005000000.0,25367979000.0
2017-08-03,1892892000.0,106320790000.0,8825496000.0,102608100000.0,12871366650.0,48946920000.0,25914712000.0
2017-08-04,1912464000.0,106505140000.0,9368664000.0,102696210000.0,13020102442.4,49230060000.0,25865009000.0
2017-08-07,1950676000.0,106947580000.0,9450336000.0,101732340000.0,12962896368.4,49368000000.0,25447936000.0
2017-08-08,1902212000.0,105890640000.0,9346032000.0,104063250000.0,13596739668.32,49389780000.0,25888780000.0
2017-08-09,1926444000.0,106259340000.0,9306672000.0,107040300000.0,13354185914.56,49484160000.0,26037889000.0
2017-08-10,1946016000.0,105558810000.0,9058704000.0,106447560000.0,13059002572.72,48917880000.0,25350691000.0
2017-08-11,1932968000.0,106271630000.0,9138408000.0,105328830000.0,12990355283.92,48990480000.0,25331242000.0
2017-08-14,1987024000.0,106947580000.0,8929800000.0,107088360000.0,13148244048.16,49389780000.0,25847721000.0
